priority_rank,sku_id,description,category,subcategory,supplier,week_start,week_end,weekly_forecast_demand,forecast_weeks_available,lead_time_days,lead_time_weeks,ending_on_hand_units,ending_on_order_units,inventory_position_units,average_reorder_point,demand_rolling_std_13,safety_stock_units,lead_time_forecast_units,lead_time_need_units,projected_lead_time_balance_units,stockout_gap_units,stockout_risk_score,stockout_risk_level,forecast_horizon_units,overstock_threshold_units,excess_inventory_units,overstock_risk_score,overstock_risk_level,inventory_coverage_weeks,minimum_order_quantity,recommended_order_units,unit_cost,list_price,recommended_order_cost,potential_lost_revenue,excess_inventory_value,overall_risk_score,primary_risk,value_at_stake,recommended_action
55,SKU10141,JAM JAR STRAWBERRY,Food & Bev,Food & Bev,SUP127,2024-12-23,2024-12-29,155.01553074979998,8,2,1,245,0,245,49.0,99.29540232597338,163.83741383785608,155.01553074979998,318.85294458765605,-73.85294458765605,73.85294458765605,23.16207074171193,Medium,1240.1242459983998,1403.9616598362559,0.0,0.0,Low,1.5804867990642681,50,250.0,4.39,7.01,1097.5,517.7091415594689,0.0,23.16207074171193,Stockout,517.7091415594689,Review supplier timing and place or expedite the recommended order
56,SKU10111,WEBCAM HD,Electronics,Electronics,SUP128,2024-12-23,2024-12-29,56.807766557302685,8,12,2,146,72,218,157.0,72.84704735054338,169.98511586425624,113.61553311460537,283.6006489788616,-65.60064897886161,65.60064897886161,23.13134656596639,Medium,454.4621324584215,624.4472483226778,0.0,0.0,Low,3.837503447351706,20,140.0,109.09,176.69,15272.6,11590.978668075059,0.0,23.13134656596639,Stockout,11590.978668075059,Review supplier timing and place or expedite the recommended order
57,SKU10030,CUTLERY SET STAINLESS,Kitchenware,Kitchenware,SUP125,2024-12-23,2024-12-29,30.94101773133688,8,10,2,94,0,94,77.0,25.400131233256783,59.26999662561152,61.88203546267376,121.15203208828528,-27.15203208828528,27.15203208828528,22.411536661865547,Medium,247.52814185069505,306.7981384763066,0.0,0.0,Low,3.0380383999068443,50,100.0,6.3,10.02,630.0,272.06336152461853,0.0,22.411536661865547,Stockout,272.06336152461853,Review supplier timing and place or expedite the recommended order
58,SKU10028,IVORY KNITTED MUG COSY,Kitchenware,Kitchenware,SUP101,2024-12-23,2024-12-29,65.52807346112324,8,11,2,212,0,212,161.0,60.60549183882301,141.42002904604647,131.05614692224648,272.476175968293,-60.47617596829298,60.47617596829298,22.195032557675212,Medium,524.2245876889859,665.6446167350324,0.0,0.0,Low,3.2352545833012503,20,140.0,16.34,27.75,2287.6,1678.21388312013,0.0,22.195032557675212,Stockout,1678.21388312013,Review supplier timing and place or expedite the recommended order
59,SKU10094,T-SHIRT COTTON WHITE,Apparel,Apparel,SUP110,2024-12-23,2024-12-29,174.17579621218206,8,20,3,325,401,726,628.0,142.033130840696,405.9141883073698,522.5273886365462,928.4415769439161,-202.44157694391606,202.44157694391606,21.80444973285883,Medium,1393.4063696974565,1799.3205580048264,0.0,0.0,Low,4.168202561942546,100,400.0,32.59,53.07,13036.000000000002,10743.574488413626,0.0,21.80444973285883,Stockout,10743.574488413626,Review supplier timing and place or expedite the recommended order
60,SKU10105,BLUETOOTH SPEAKER PORTABLE,Electronics,Electronics,SUP113,2024-12-23,2024-12-29,843.2624568439103,8,15,3,908,1451,2359,2070.0,170.14277564023664,486.24828771697554,2529.7873705317306,3016.035658248706,-657.0356582487061,657.0356582487061,21.7847443697003,Medium,6746.099654751282,7232.347942468258,0.0,0.0,Low,2.7974683099601765,50,1550.0,111.53,214.08,172871.5,140658.19371788303,0.0,21.7847443697003,Stockout,140658.19371788303,Review supplier timing and place or expedite the recommended order
61,SKU10096,JACKET LIGHT NYLON,Apparel,Apparel,SUP107,2024-12-23,2024-12-29,253.13444714104517,8,20,3,0,933,933,823.0,150.2786301064349,429.47886734972195,759.4033414231355,1188.8822087728574,-255.88220877285744,255.88220877285744,21.522923539814695,Medium,2025.0755771283614,2454.5544444780835,0.0,0.0,Low,3.6857883647899463,10,510.0,27.16,52.51,13851.6,13436.374782662744,0.0,21.522923539814695,Stockout,13436.374782662744,Review supplier timing and place or expedite the recommended order
62,SKU10014,FLOWER POT TERRACOTTA,Home Decor,Home Decor,SUP124,2024-12-23,2024-12-29,41.613854750793855,8,8,2,117,0,117,90.0,27.89724735984553,65.09689818913144,83.22770950158771,148.32460769071915,-31.324607690719148,31.324607690719148,21.118955362973114,Medium,332.91083800635084,398.00773619548227,0.0,0.0,Low,2.8115636174696848,20,80.0,12.83,22.53,1026.4,705.7434112719025,0.0,21.118955362973114,Stockout,705.7434112719025,Review supplier timing and place or expedite the recommended order
63,SKU10112,KEYBOARD WIRELESS,Electronics,Electronics,SUP108,2024-12-23,2024-12-29,253.8805906914422,8,13,2,385,182,567,473.0,87.95118109730122,205.2298926719837,507.7611813828844,712.991074054868,-145.99107405486802,145.99107405486802,20.475862793680438,Medium,2031.0447255315376,2236.274618203521,0.0,0.0,Low,2.2333333889596645,20,400.0,20.52,34.77,8208.0,5076.1096448877615,0.0,20.475862793680438,Stockout,5076.1096448877615,Review supplier timing and place or expedite the recommended order
64,SKU10101,CAP SUMMER BASEBALL,Apparel,Apparel,SUP111,2024-12-23,2024-12-29,299.58532599577933,8,23,4,268,885,1153,1123.0,76.08177112446785,251.0698447107439,1198.3413039831173,1449.4111486938612,-296.41114869386115,296.41114869386115,20.450453203755742,Medium,2396.6826079662346,2647.7524526769785,0.0,0.0,Low,3.848653121335602,10,600.0,19.78,37.71,11868.0,11177.664417245504,0.0,20.450453203755742,Stockout,11177.664417245504,Review supplier timing and place or expedite the recommended order
65,SKU10021,WIND CHIME BAMBOO,Home Decor,Home Decor,SUP102,2024-12-23,2024-12-29,882.3485844038645,8,9,2,768,989,1757,1187.0,189.0871119284332,441.225770962597,1764.697168807729,2205.922939770326,-448.92293977032614,448.92293977032614,20.35079882785312,Medium,7058.788675230916,7500.014446193513,0.0,0.0,Low,1.9912764989440888,100,1400.0,4.29,9.28,6006.0,4166.004881068627,0.0,20.35079882785312,Stockout,4166.004881068627,Review supplier timing and place or expedite the recommended order
66,SKU10069,POPPY'S PLAYHOUSE BEDROOM,Toys,Toys,SUP122,2024-12-23,2024-12-29,22.091671429772404,8,13,2,105,0,105,93.0,37.3834942324235,87.232603511443,44.18334285954481,131.4159463709878,-26.415946370987797,26.415946370987797,20.101020538416588,Medium,176.73337143817923,263.96597494962225,0.0,0.0,Low,4.752922400361888,20,60.0,20.36,36.32,1221.6,959.4271721942767,0.0,20.101020538416588,Stockout,959.4271721942767,Review supplier timing and place or expedite the recommended order
67,SKU10117,TABLET STAND ALUMINUM,Electronics,Electronics,SUP106,2024-12-23,2024-12-29,175.8992631989292,8,14,2,292,131,423,389.0,75.81429741353332,176.9090525796104,351.7985263978584,528.7075789774688,-105.70757897746876,105.70757897746876,19.993581174249375,Medium,1407.1941055914335,1584.103158171044,0.0,0.0,Low,2.4047855136358245,20,300.0,90.3,180.69,27090.0,19100.30244543883,0.0,19.993581174249375,Stockout,19100.30244543883,Review supplier timing and place or expedite the recommended order
68,SKU10131,HAND CREAM SHEA,Beauty,Beauty,SUP112,2024-12-23,2024-12-29,136.3490510465387,8,12,2,127,240,367,258.0,78.40452302494562,182.9532206918983,272.6981020930774,455.6513227849757,-88.65132278497572,88.65132278497572,19.45595641925003,Medium,1090.7924083723096,1273.745629064208,0.0,0.0,Low,2.6916212264266908,20,240.0,15.42,27.03,3700.8,2396.245254877894,0.0,19.45595641925003,Stockout,2396.245254877894,Review supplier timing and place or expedite the recommended order
69,SKU10073,PUZZLE 500PC LANDSCAPE,Toys,Toys,SUP124,2024-12-23,2024-12-29,118.67021139374248,8,14,2,298,0,298,295.0,56.52898054118474,131.90768406497259,237.34042278748495,369.24810685245757,-71.24810685245757,71.24810685245757,19.295456233912013,Medium,949.3616911499398,1081.2693752149123,0.0,0.0,Low,2.511160943425383,20,200.0,2.43,4.3,486.00000000000006,306.36685946556753,0.0,19.295456233912013,Stockout,306.36685946556753,Review supplier timing and place or expedite the recommended order
70,SKU10017,WALL ART CANVAS,Home Decor,Home Decor,SUP124,2024-12-23,2024-12-29,121.23041257205398,8,5,1,210,0,210,106.0,83.94900772156814,138.5158627405874,121.23041257205398,259.7462753126414,-49.74627531264139,49.74627531264139,19.151872438814838,Medium,969.8433005764318,1108.3591633170192,0.0,0.0,Low,1.7322385987524815,50,200.0,2.94,4.81,588.0,239.27958425380504,0.0,19.151872438814838,Stockout,239.27958425380504,Review supplier timing and place or expedite the recommended order
71,SKU10087,HAND WARMER UNION JACK,Apparel,Apparel,SUP100,2024-12-23,2024-12-29,382.7819486673826,8,22,4,283,1280,1563,1433.0,120.47714965811406,397.57459387177636,1531.1277946695304,1928.7023885413068,-365.70238854130685,365.70238854130685,18.96105851860851,Medium,3062.255589339061,3459.8301832108373,0.0,0.0,Low,4.083264650910079,20,760.0,8.25,15.04,6270.0,5500.163923661255,0.0,18.96105851860851,Stockout,5500.163923661255,Review supplier timing and place or expedite the recommended order
72,SKU10012,DECORATIVE PILLOW,Home Decor,Home Decor,SUP103,2024-12-23,2024-12-29,43.437651453578646,8,6,1,89,0,89,58.0,39.39445490069735,65.00085058615062,43.437651453578646,108.43850203972926,-19.438502039729258,19.438502039729258,17.925830469723937,Medium,347.50121162862916,412.5020622147798,0.0,0.0,Low,2.0489137193596516,20,80.0,10.3,19.25,824.0,374.1911642647882,0.0,17.925830469723937,Stockout,374.1911642647882,Review supplier timing and place or expedite the recommended order
73,SKU10110,SCREEN PROTECTOR GLASS,Electronics,Electronics,SUP114,2024-12-23,2024-12-29,65.17017702047357,8,13,2,26,200,226,163.0,61.25085033423346,142.92594236177,130.34035404094715,273.26629640271716,-47.26629640271716,47.26629640271716,17.296789624171968,Medium,521.3614161637886,664.2873585255586,0.0,0.0,Low,3.4678438870743107,100,200.0,116.32,223.61,23264.0,10569.216538611585,0.0,17.296789624171968,Stockout,10569.216538611585,Review supplier timing and place or expedite the recommended order
74,SKU10001,WHITE METAL LANTERN,Home Decor,Home Decor,SUP110,2024-12-23,2024-12-29,50.23679562074104,8,7,1,142,0,142,82.0,73.549477503417,121.35663788063803,50.23679562074104,171.59343350137908,-29.59343350137908,29.59343350137908,17.24625056877178,Medium,401.89436496592833,523.2510028465664,0.0,0.0,Low,2.8266134064763695,100,100.0,8.37,15.53,836.9999999999999,459.5860222764171,0.0,17.24625056877178,Stockout,459.5860222764171,Review supplier timing and place or expedite the recommended order
75,SKU10127,MAKEUP BRUSH SET,Beauty,Beauty,SUP123,2024-12-23,2024-12-29,63.121510155889126,8,11,2,125,0,125,122.0,10.419409895195724,24.313196796421863,126.24302031177825,150.55621710820012,-25.556217108200116,25.556217108200116,16.974534561840052,Medium,504.972081247113,529.2852780435348,0.0,0.0,Low,1.9803075004272173,100,100.0,26.63,57.69,2663.0,1474.3381649720645,0.0,16.974534561840052,Stockout,1474.3381649720645,Review supplier timing and place or expedite the recommended order
76,SKU10102,SHOES CASUAL CANVAS,Apparel,Apparel,SUP108,2024-12-23,2024-12-29,105.77701327195244,8,21,3,91,294,385,368.0,49.22762409825378,140.68683102222798,317.3310398158573,458.0178708380853,-73.01787083808529,73.01787083808529,15.94214450722569,Medium,846.2161061756195,986.9029371978475,0.0,0.0,Low,3.6397321884119185,20,180.0,34.06,56.95,6130.8,4158.367744228957,0.0,15.94214450722569,Stockout,4158.367744228957,Review supplier timing and place or expedite the recommended order
77,SKU10122,NAIL POLISH RED,Beauty,Beauty,SUP114,2024-12-23,2024-12-29,54.83679463264358,8,12,2,121,67,188,147.0,48.592892800997454,113.38920125628569,109.67358926528716,223.06279052157285,-35.06279052157285,35.06279052157285,15.71879847796698,Medium,438.69435706114865,552.0835583174344,0.0,0.0,Low,3.428355017090773,10,90.0,3.01,4.68,270.9,164.09385964096094,0.0,15.71879847796698,Stockout,164.09385964096094,Review supplier timing and place or expedite the recommended order
78,SKU10044,TEAPOT CERAMIC,Kitchenware,Kitchenware,SUP118,2024-12-23,2024-12-29,112.08096498494432,8,10,2,164,120,284,177.0,46.885567184970704,109.40523823769183,224.16192996988863,333.5671682075805,-49.567168207580494,49.567168207580494,14.859726295540574,Medium,896.6477198795545,1006.0529581172464,0.0,0.0,Low,2.5338825378435073,100,200.0,14.12,31.14,2824.0,1543.5216179840565,0.0,14.859726295540574,Stockout,1543.5216179840565,Review supplier timing and place or expedite the recommended order
79,SKU10089,TOTE BAG CANVAS,Apparel,Apparel,SUP125,2024-12-23,2024-12-29,30.170035836113264,8,20,3,140,50,190,166.0,46.254036552887975,132.18866325183745,90.51010750833979,222.69877076017724,-32.69877076017724,32.69877076017724,14.682959698616159,Medium,241.36028668890611,373.54894994074357,0.0,0.0,Low,6.29763918850145,50,100.0,36.08,71.84,3608.0,2349.079691411133,0.0,14.682959698616159,Stockout,2349.079691411133,Review supplier timing and place or expedite the recommended order
80,SKU10034,COFFEE GRINDER MANUAL,Kitchenware,Kitchenware,SUP121,2024-12-23,2024-12-29,41.23265217131146,8,10,2,98,100,198,102.0,63.73070346467677,148.71256154588443,82.46530434262291,231.17786588850734,-33.17786588850734,33.17786588850734,14.351661981499939,Medium,329.86121737049166,478.5737789163761,0.0,0.0,Low,4.802019505739263,100,100.0,16.01,31.77,1601.0000000000002,1054.0607992778782,0.0,14.351661981499939,Stockout,1054.0607992778782,Review supplier timing and place or expedite the recommended order
81,SKU10057,CALENDAR DESK 2025,Stationery,Stationery,SUP121,2024-12-23,2024-12-29,152.59030610692759,8,5,1,0,313,313,123.0,127.7291806508739,210.75314807394193,152.59030610692759,363.3434541808695,-50.343454180869514,50.343454180869514,13.855610607937464,Medium,1220.7224488554207,1431.4755969293626,0.0,0.0,Low,2.0512443285923116,50,250.0,4.1,8.74,1025.0,440.00178954079956,0.0,13.855610607937464,Stockout,440.00178954079956,Review supplier timing and place or expedite the recommended order
82,SKU10080,PLAY DOUGH SET,Toys,Toys,SUP129,2024-12-23,2024-12-29,43.697606198344296,8,16,3,174,51,225,189.0,44.98076511987352,128.5498014090558,131.0928185950329,259.6426200040887,-34.64262000408871,34.64262000408871,13.342424292055655,Medium,349.58084958675437,478.13065099581013,0.0,0.0,Low,5.149023472332113,50,100.0,3.04,6.69,304.0,231.7591278273535,0.0,13.342424292055655,Stockout,231.7591278273535,Review supplier timing and place or expedite the recommended order
83,SKU10026,RETROSPOT TEA SET CERAMIC 11 PC,Kitchenware,Kitchenware,SUP122,2024-12-23,2024-12-29,36.13655576642659,8,12,2,180,0,180,144.0,57.615769742987226,134.44365491221163,72.27311153285318,206.71676644506482,-26.71676644506482,26.71676644506482,12.92433453966376,Medium,289.0924461314127,423.53610104362434,0.0,0.0,Low,4.981105591895747,50,100.0,8.56,15.52,856.0,414.644215227406,0.0,12.92433453966376,Stockout,414.644215227406,Review supplier timing and place or expedite the recommended order
84,SKU10130,SOAP BAR ARTISAN,Beauty,Beauty,SUP108,2024-12-23,2024-12-29,29.426604572898135,8,8,2,142,0,142,103.0,44.1464636908808,103.0136706760508,58.85320914579627,161.86687982184708,-19.86687982184708,19.86687982184708,12.273591635046099,Medium,235.41283658318508,338.4265072592359,0.0,0.0,Low,4.825565234623835,10,50.0,10.03,18.56,501.49999999999994,368.72928949348176,0.0,12.273591635046099,Stockout,368.72928949348176,Review supplier timing and place or expedite the recommended order
85,SKU10093,SOCKS PACK COTTON,Apparel,Apparel,SUP110,2024-12-23,2024-12-29,22.667391105836153,8,21,3,202,25,227,209.0,66.3125853391268,189.51366553121417,68.00217331750846,257.51583884872264,-30.515838848722638,30.515838848722638,11.850082303687204,Medium,181.33912884668922,370.85279437790336,0.0,0.0,Medium,10.014385817058344,10,60.0,29.42,54.32,1765.2,1657.6203662626137,0.0,11.850082303687204,Stockout,1657.6203662626137,Review supplier timing and place or expedite the recommended order
86,SKU10031,SPICE RACK WOODEN,Kitchenware,Kitchenware,SUP100,2024-12-23,2024-12-29,283.99219030555344,8,8,2,357,355,712,399.0,100.34868695881848,234.1588822047638,567.9843806111069,802.1432628158707,-90.14326281587068,90.14326281587068,11.237800900965793,Medium,2271.9375224444275,2506.0964046491913,0.0,0.0,Low,2.5071111963816453,10,380.0,20.82,40.53,7911.6,3653.506441927239,0.0,11.237800900965793,Stockout,3653.506441927239,Review supplier timing and place or expedite the recommended order
87,SKU10136,COFFEE BEANS ARABICA,Food & Bev,Food & Bev,SUP101,2024-12-23,2024-12-29,65.91790918904238,8,1,1,127,0,127,13.0,46.50199885419872,76.72829810942788,65.91790918904238,142.64620729847024,-15.646207298470244,15.646207298470244,10.968540695668642,Medium,527.343273512339,604.0715716217669,0.0,0.0,Low,1.9266387778742136,10,90.0,14.12,25.05,1270.8,391.93749282667966,0.0,10.968540695668642,Stockout,391.93749282667966,Review supplier timing and place or expedite the recommended order
88,SKU10091,BEANIE HAT WINTER,Apparel,Apparel,SUP116,2024-12-23,2024-12-29,67.94493621453279,8,20,3,270,100,370,280.0,73.53814638919705,210.16347963686965,203.83480864359836,413.99828828046805,-43.998288280468046,43.998288280468046,10.627649805777603,Medium,543.5594897162623,753.7229693531319,0.0,0.0,Low,5.445586096832047,100,200.0,33.43,52.34,6686.0,2302.870408599698,0.0,10.627649805777603,Stockout,2302.870408599698,Review supplier timing and place or expedite the recommended order
89,SKU10132,EYESHADOW PALETTE,Beauty,Beauty,SUP104,2024-12-23,2024-12-29,13.617458348727613,8,10,2,82,53,135,84.0,5.899804429613978,13.766912675519768,27.234916697455226,41.001829372974996,93.998170627025,0.0,0.0,Low,108.9396667898209,122.70657946534067,12.293420534659333,9.106237433013534,Medium,9.913744293744369,50,0.0,5.28,8.27,0.0,0.0,64.90926042300129,9.106237433013534,Overstock,64.90926042300129,Reduce or defer replenishment and monitor weekly demand
90,SKU10032,WOODEN SPOON SET,Kitchenware,Kitchenware,SUP108,2024-12-23,2024-12-29,14.819781261141397,8,12,2,129,0,129,92.0,47.830496654921006,111.6101861563099,29.639562522282795,141.24974867859268,-12.249748678592681,12.249748678592681,8.672403875478533,Medium,118.55825008913118,230.16843624544106,0.0,0.0,Medium,8.704581918374727,50,50.0,13.44,29.85,672.0,365.65499805599154,0.0,8.672403875478533,Stockout,365.65499805599154,Review supplier timing and place or expedite the recommended order
91,SKU10005,WOODEN PHOTO FRAME,Home Decor,Home Decor,SUP127,2024-12-23,2024-12-29,12.44316862988564,8,6,1,116,0,116,34.0,3.882901373576696,6.406787266401548,12.44316862988564,18.849955896287188,97.15004410371282,0.0,0.0,Low,99.54534903908512,105.95213630548668,10.047863694513325,8.661951460712677,Medium,9.322384309844887,100,0.0,4.77,8.34,0.0,0.0,47.92830982282855,8.661951460712677,Overstock,47.92830982282855,Reduce or defer replenishment and monitor weekly demand
92,SKU10068,BABUSHKA BOXES NESTING,Toys,Toys,SUP108,2024-12-23,2024-12-29,63.19135133078596,8,12,2,96,119,215,162.0,45.28499496776794,105.67037919143439,126.38270266157193,232.05308185300632,-17.05308185300632,17.05308185300632,7.348784905918674,Medium,505.5308106462877,611.201189837722,0.0,0.0,Low,3.4023643342353234,50,100.0,26.46,44.24,2646.0,754.4283411769995,0.0,7.348784905918674,Stockout,754.4283411769995,Review supplier timing and place or expedite the recommended order
93,SKU10106,HEADPHONES OVER-EAR,Electronics,Electronics,SUP104,2024-12-23,2024-12-29,51.27548289567453,8,16,3,122,121,243,200.0,37.72810963208011,107.82255454788096,153.82644868702357,261.6490032349045,-18.649003234904512,18.649003234904512,7.127488736538562,Medium,410.2038631653962,518.0264177132772,0.0,0.0,Low,4.739107001574409,50,100.0,134.62,238.39,13462.0,4445.735881168886,0.0,7.127488736538562,Stockout,4445.735881168886,Review supplier timing and place or expedite the recommended order
94,SKU10074,BOARD GAME FAMILY,Toys,Toys,SUP125,2024-12-23,2024-12-29,61.520760138235005,8,13,2,0,262,262,189.0,65.98814967428544,153.98020477171235,123.04152027647001,277.02172504818236,-15.021725048182361,15.021725048182361,5.422580140786939,Medium,492.16608110588004,646.1462858775924,0.0,0.0,Low,4.258725012683445,20,80.0,14.46,28.5,1156.8000000000002,428.1191638731973,0.0,5.422580140786939,Stockout,428.1191638731973,Review supplier timing and place or expedite the recommended order
95,SKU10066,WHITEBOARD A3,Stationery,Stationery,SUP102,2024-12-23,2024-12-29,188.2433205306861,8,4,1,295,0,295,142.0,74.60245063686338,123.09404355082457,188.2433205306861,311.33736408151066,-16.337364081510657,16.337364081510657,5.247479411812881,Medium,1505.9465642454888,1629.0406077963135,0.0,0.0,Low,1.567120677473978,100,300.0,3.12,5.9,936.0,96.39044808091288,0.0,5.247479411812881,Stockout,96.39044808091288,Review supplier timing and place or expedite the recommended order
96,SKU10019,DOOR MAT WELCOME,Home Decor,Home Decor,SUP104,2024-12-23,2024-12-29,332.3492173258767,8,7,1,80,493,573,336.0,164.73128857596376,271.8066261503402,332.3492173258767,604.1558434762169,-31.155843476216887,31.155843476216887,5.15692164738481,Medium,2658.7937386070134,2930.6003647573534,0.0,0.0,Low,1.7240901140385694,20,380.0,11.08,18.22,4210.4,567.6594681366716,0.0,5.15692164738481,Stockout,567.6594681366716,Review supplier timing and place or expedite the recommended order
97,SKU10103,SLIPPERS HOUSE,Apparel,Apparel,SUP121,2024-12-23,2024-12-29,397.7211947031059,8,19,3,122,1399,1521,1314.0,142.66708602861917,407.72595858945766,1193.1635841093175,1600.8895426987751,-79.88954269877513,79.88954269877513,4.990321978370079,Medium,3181.769557624847,3589.4955162143046,0.0,0.0,Low,3.824287013759496,10,480.0,40.22,72.98,19305.6,5830.33882615661,0.0,4.990321978370079,Stockout,5830.33882615661,Review supplier timing and place or expedite the recommended order
98,SKU10070,PLUSH BEAR LARGE,Toys,Toys,SUP127,2024-12-23,2024-12-29,38.08279979002522,8,16,3,109,90,199,177.0,33.200440219509574,94.88300133484223,114.24839937007566,209.1314007049179,-10.131400704917894,10.131400704917894,4.844514343957723,Medium,304.66239832020176,399.545399655044,0.0,0.0,Low,5.225456140231653,20,60.0,25.61,41.08,1536.6,416.19794095802706,0.0,4.844514343957723,Stockout,416.19794095802706,Review supplier timing and place or expedite the recommended order
99,SKU10114,LED BULB SMART,Electronics,Electronics,SUP121,2024-12-23,2024-12-29,864.8127961149968,8,12,2,411,1571,1982,1422.0,147.09372557170516,343.23620371176116,1729.6255922299936,2072.8617959417547,-90.86179594175474,90.86179594175474,4.383398648168439,Medium,6918.502368919974,7261.738572631735,0.0,0.0,Low,2.291825478188747,100,1000.0,129.57,246.86,129570.0,22430.142946181575,0.0,4.383398648168439,Stockout,22430.142946181575,Review supplier timing and place or expedite the recommended order
100,SKU10100,BELT LEATHER BLACK,Apparel,Apparel,SUP116,2024-12-23,2024-12-29,3131.2086434680364,8,21,3,1979,8047,10026,9197.0,361.6758358757347,1033.6275239510796,9393.625930404109,10427.253454355188,-401.2534543551883,401.2534543551883,3.8481221935538246,Medium,25049.66914774429,26083.29667169537,0.0,0.0,Low,3.20195845809096,50,3550.0,25.37,47.45,90063.5,19039.476409153685,0.0,3.8481221935538246,Stockout,19039.476409153685,Review supplier timing and place or expedite the recommended order
101,SKU10009,CUSHION COVER VINTAGE,Home Decor,Home Decor,SUP120,2024-12-23,2024-12-29,81.6968356424523,8,6,1,68,108,176,83.0,60.3028680697353,99.49973231506324,81.6968356424523,181.19656795751553,-5.196567957515526,5.196567957515526,2.867917431363969,Medium,653.5746851396184,753.0744174546817,0.0,0.0,Low,2.1543062055704,20,100.0,7.77,14.74,777.0,76.59741169377887,0.0,2.867917431363969,Stockout,76.59741169377887,Review supplier timing and place or expedite the recommended order
102,SKU10137,HONEY JAR ORGANIC,Food & Bev,Food & Bev,SUP116,2024-12-23,2024-12-29,91.9302491024962,8,4,1,57,145,202,69.0,69.76168223095189,115.10677568107062,91.9302491024962,207.03702478356684,-5.037024783566835,5.037024783566835,2.432910146775984,Medium,735.4419928199696,850.5487685010403,0.0,0.0,Low,2.1973180968408257,10,100.0,6.58,13.03,658.0,65.63243292987586,0.0,2.432910146775984,Stockout,65.63243292987586,Review supplier timing and place or expedite the recommended order
103,SKU10053,DESK ORGANIZER MESH,Stationery,Stationery,SUP128,2024-12-23,2024-12-29,15.608256462969852,8,3,1,71,0,71,25.0,34.42382895611703,56.799317777593096,15.608256462969852,72.40757424056295,-1.4075742405629512,1.4075742405629512,1.9439599452221175,Medium,124.86605170375881,181.66536948135192,0.0,0.0,Low,4.548874511925499,20,20.0,3.76,5.9,75.19999999999999,8.304688019321413,0.0,1.9439599452221175,Stockout,8.304688019321413,Review supplier timing and place or expedite the recommended order
104,SKU10142,PASTA DRY PENNE,Food & Bev,Food & Bev,SUP121,2024-12-23,2024-12-29,45.2409638331689,8,2,1,0,114,114,21.0,42.90329017327584,70.79042878590514,45.2409638331689,116.03139261907404,-2.0313926190740403,2.0313926190740403,1.750726741447899,Medium,361.9277106653512,432.7181394512563,0.0,0.0,Low,2.519840214288708,20,60.0,2.51,4.29,150.6,8.714674335827633,0.0,1.750726741447899,Stockout,8.714674335827633,Review supplier timing and place or expedite the recommended order
105,SKU10129,FACE MASK PACK 5,Beauty,Beauty,SUP104,2024-12-23,2024-12-29,74.23878068135224,8,11,2,165,101,266,176.0,52.29967887335838,122.03881003126075,148.47756136270448,270.51637139396524,-4.516371393965244,4.516371393965244,1.6695371783510848,Medium,593.9102454508179,715.9490554820786,0.0,0.0,Low,3.5830329857076375,10,80.0,13.48,23.79,1078.4,107.44447546243315,0.0,1.6695371783510848,Stockout,107.44447546243315,Review supplier timing and place or expedite the recommended order
106,SKU10075,ACTION FIGURE HERO,Toys,Toys,SUP127,2024-12-23,2024-12-29,79.33941780922835,8,14,2,139,87,226,212.0,30.37986006280984,70.889956704307,158.6788356184567,229.5687923227637,-3.5687923227636986,3.5687923227636986,1.554563356212018,Medium,634.7153424738268,705.6052991781338,0.0,0.0,Low,2.8485210282663918,10,90.0,6.76,14.76,608.4,52.67537468399219,0.0,1.554563356212018,Stockout,52.67537468399219,Review supplier timing and place or expedite the recommended order
107,SKU10054,STAPLER STANDARD,Stationery,Stationery,SUP115,2024-12-23,2024-12-29,17.028431941666163,8,5,1,87,0,87,36.0,43.17896567685563,71.2452933668118,17.028431941666163,88.27372530847796,-1.2737253084779638,1.2737253084779638,1.4429268777458106,Medium,136.2274555333293,207.47274890014108,0.0,0.0,Low,5.10910225310431,10,20.0,1.58,2.83,31.6,3.6046426229926376,0.0,1.4429268777458106,Stockout,3.6046426229926376,Review supplier timing and place or expedite the recommended order
108,SKU10027,JAM MAKING SET WITH JARS,Kitchenware,Kitchenware,SUP112,2024-12-23,2024-12-29,25.14815615747411,8,11,2,215,0,215,164.0,57.19288103449276,133.45686424978152,50.29631231494822,183.75317656472973,31.246823435270272,0.0,0.0,Low,201.18524925979287,334.6421135095744,0.0,0.0,Medium,8.549334537836538,100,0.0,11.81,19.65,0.0,0.0,0.0,0.0,Stockout,0.0,Reduce or defer replenishment and monitor weekly demand
109,SKU10095,HOODIE FLEECE,Apparel,Apparel,SUP128,2024-12-23,2024-12-29,24.256854128180482,8,20,3,203,0,203,194.0,29.069324743200355,83.07675320495449,72.77056238454145,155.84731558949593,47.152684410504065,0.0,0.0,Low,194.05483302544386,277.13158623039834,0.0,0.0,Medium,8.368768634518194,50,0.0,13.67,27.73,0.0,0.0,0.0,0.0,Stockout,0.0,Reduce or defer replenishment and monitor weekly demand
110,SKU10104,PYJAMA SET COTTON,Apparel,Apparel,SUP128,2024-12-23,2024-12-29,11.697394893612866,8,22,4,101,12,113,104.0,6.216190605268281,20.513428997385326,46.789579574451466,67.30300857183678,45.696991428163216,0.0,0.0,Low,93.57915914890293,114.09258814628825,0.0,0.0,Medium,9.660270601080711,10,0.0,38.26,72.48,0.0,0.0,0.0,0.0,Stockout,0.0,Reduce or defer replenishment and monitor weekly demand
